
begin: 2013-07-19 19:11:45.099663 +0900 +0900

  :4095(111111111111)--4095(111111111111)	197(000011000101)--1290(010100001010)	2608(101000110000)--2608(101000110000)
  :4095(111111111111)--4095(111111111111)	197(000011000101)--1290(010100001010)	197(000011000101)--1290(010100001010)
  :4095(111111111111)--4095(111111111111)	197(000011000101)--1290(010100001010)	1290(010100001010)--197(000011000101)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2332(100100011100)	32(000000100000)--32(000000100000)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2332(100100011100)	512(001000000000)--2064(100000010000)
    :2608(101000110000)--2608(101000110000)	1603(011001000011)--2332(100100011100)	2064(100000010000)--512(001000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--544(001000100000)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--544(001000100000)	0(000000000000)--32(000000100000)
      :32(000000100000)--32(000000100000)	136(000010001000)--544(001000100000)	32(000000100000)--0(000000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--2080(100000100000)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--2080(100000100000)	0(000000000000)--32(000000100000)
      :32(000000100000)--32(000000100000)	136(000010001000)--2080(100000100000)	32(000000100000)--0(000000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--288(000100100000)	0(000000000000)--0(000000000000)
      :32(000000100000)--32(000000100000)	136(000010001000)--288(000100100000)	0(000000000000)--32(000000100000)
      :32(000000100000)--32(000000100000)	136(000010001000)--288(000100100000)	32(000000100000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3209(110010001001)	512(001000000000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3209(110010001001)	0(000000000000)--2048(100000000000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3209(110010001001)	0(000000000000)--16(000000010000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3337(110100001001)	512(001000000000)--0(000000000000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3337(110100001001)	0(000000000000)--2048(100000000000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--3337(110100001001)	0(000000000000)--16(000000010000)
      :512(001000000000)--2064(100000010000)	118(000001110110)--2441(100110001001)	512(001000000000)--0(000000000000)
